loudness_low;loudness_medium;loudness_high;tone_low;tone_medium;tone_high;spectrum_low;spectrum_medium;spectrum_high;quality_low;quality_medium;quality_high;id
1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;INTERVAL, tnorm min, with harmonicity
1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;INTERVAL, tnorm min, with harmonicity
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.6470668141058884;0.0;0.0;INTERVAL, tnorm min, with harmonicity
1.0;0.0;0.0;0.0;0.21308587772620902;0.0;1.0;0.0;0.0;0.8558506946978754;0.0;0.0;INTERVAL, tnorm min, with harmonicity
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.5942464699592334;0.4057535300407666;0.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;only spectralflux - Quartiles
1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;only spectralflux - Quartiles
0.7337275291124088;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2895986135992256;0.7104013864007744;0.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;0.0;0.1663793804490985;0.0;0.0;0.0;0.7013614945873552;0.2986385054126448;0.0;0.0;0.0;only spectralflux - Quartiles
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;only spectralflux - Quartiles
